Day Index,Quantity,Impressions,Clicks,Day,Month,Year,Day of Week,Weekend,December,January,February,March,April,May,June,is monday,is tuesday,is wednesday,is thursday,is friday,is saturday,is sunday,Quantity per Impressions,Quantity per Clicks,Quantity_lag1,Impressions_lag1,Clicks_lag1,Quantity 7-day MA,Impressions 7-day MA,Clicks 7-day MA
2021-12-01,14,620,445,1,12,2021,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02258064516129032,0.03146067415730337,17.587677725118482,1534.8151658767772,359.5924170616114,17.6373092926491,1550.2461858529819,361.05270457697634
2021-12-02,10,890,433,2,12,2021,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.011235955056179775,0.023094688221709007,14.0,620.0,445.0,17.6373092926491,1550.2461858529819,361.05270457697634
2021-12-03,13,851,424,3,12,2021,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01527614571092832,0.030660377358490566,10.0,890.0,433.0,17.6373092926491,1550.2461858529819,361.05270457697634
2021-12-04,22,881,427,4,12,2021,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.024971623155505107,0.05152224824355972,13.0,851.0,424.0,17.6373092926491,1550.2461858529819,361.05270457697634
2021-12-05,33,678,451,5,12,2021,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.048672566371681415,0.07317073170731707,22.0,881.0,427.0,17.6373092926491,1550.2461858529819,361.05270457697634
2021-12-06,12,995,429,6,12,2021,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.012060301507537688,0.027972027972027972,33.0,678.0,451.0,17.6373092926491,1550.2461858529819,361.05270457697634
2021-12-07,29,910,444,7,12,2021,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.031868131868131866,0.06531531531531531,12.0,995.0,429.0,19.0,832.1428571428571,436.14285714285717
2021-12-08,24,867,431,8,12,2021,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02768166089965398,0.05568445475638051,29.0,910.0,444.0,20.428571428571427,867.4285714285714,434.14285714285717
2021-12-09,23,1128,456,9,12,2021,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.020390070921985817,0.05043859649122807,24.0,867.0,431.0,22.285714285714285,901.4285714285714,437.42857142857144
2021-12-10,38,1129,391,10,12,2021,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.03365810451727192,0.09718670076726342,23.0,1128.0,456.0,25.857142857142858,941.1428571428571,432.7142857142857
2021-12-11,20,1461,447,11,12,2021,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.013689253935660506,0.0447427293064877,38.0,1129.0,391.0,25.571428571428573,1024.0,435.57142857142856
2021-12-12,21,1237,347,12,12,2021,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016976556184316895,0.06051873198847262,20.0,1461.0,447.0,23.857142857142858,1103.857142857143,420.7142857142857
2021-12-13,18,1403,443,13,12,2021,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.012829650748396294,0.040632054176072234,21.0,1237.0,347.0,24.714285714285715,1162.142857142857,422.7142857142857
2021-12-14,15,1641,427,14,12,2021,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.009140767824497258,0.0351288056206089,18.0,1403.0,443.0,22.714285714285715,1266.5714285714287,420.2857142857143
2021-12-15,15,1496,423,15,12,2021,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.010026737967914439,0.03546099290780142,15.0,1641.0,427.0,21.428571428571427,1356.4285714285713,419.14285714285717
2021-12-16,11,1775,404,16,12,2021,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.006197183098591549,0.027227722772277228,15.0,1496.0,423.0,19.714285714285715,1448.857142857143,411.7142857142857
2021-12-17,17,1619,413,17,12,2021,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.010500308832612723,0.04116222760290557,11.0,1775.0,404.0,16.714285714285715,1518.857142857143,414.85714285714283
2021-12-18,14,969,370,18,12,2021,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.014447884416924664,0.03783783783783784,17.0,1619.0,413.0,15.857142857142858,1448.5714285714287,403.85714285714283
2021-12-19,11,678,429,19,12,2021,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016224188790560472,0.02564102564102564,14.0,969.0,370.0,14.428571428571429,1368.7142857142858,415.57142857142856
2021-12-20,18,1330,383,20,12,2021,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.013533834586466165,0.04699738903394256,11.0,678.0,429.0,14.428571428571429,1358.2857142857142,407.0
2021-12-21,13,1331,379,21,12,2021,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.009767092411720512,0.03430079155672823,18.0,1330.0,383.0,14.142857142857142,1314.0,400.14285714285717
2021-12-22,6,1176,350,22,12,2021,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00510204081632653,0.017142857142857144,13.0,1331.0,379.0,12.857142857142858,1268.2857142857142,389.7142857142857
2021-12-23,9,1257,359,23,12,2021,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.007159904534606206,0.025069637883008356,6.0,1176.0,350.0,12.571428571428571,1194.2857142857142,383.2857142857143
2021-12-24,8,1085,339,24,12,2021,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.007373271889400922,0.02359882005899705,9.0,1257.0,359.0,11.285714285714286,1118.0,372.7142857142857
2021-12-25,12,1814,338,25,12,2021,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.006615214994487321,0.03550295857988166,8.0,1085.0,339.0,11.0,1238.7142857142858,368.14285714285717
2021-12-26,7,1759,398,26,12,2021,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003979533826037522,0.017587939698492462,12.0,1814.0,338.0,10.428571428571429,1393.142857142857,363.7142857142857
2021-12-27,11,1119,369,27,12,2021,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.009830205540661306,0.02981029810298103,7.0,1759.0,398.0,9.428571428571429,1363.0,361.7142857142857
2021-12-28,13,893,381,28,12,2021,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.014557670772676373,0.03412073490813648,11.0,1119.0,369.0,9.428571428571429,1300.4285714285713,362.0
2021-12-29,12,1028,361,29,12,2021,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.011673151750972763,0.0332409972299169,13.0,893.0,381.0,10.285714285714286,1279.2857142857142,363.57142857142856
2021-12-30,11,956,356,30,12,2021,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.011506276150627616,0.03089887640449438,12.0,1028.0,361.0,10.571428571428571,1236.2857142857142,363.14285714285717
2021-12-31,15,911,237,31,12,2021,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01646542261251372,0.06329113924050633,11.0,956.0,356.0,11.571428571428571,1211.4285714285713,348.57142857142856
2022-01-01,12,1350,332,1,1,2022,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.008888888888888889,0.03614457831325301,15.0,911.0,237.0,11.571428571428571,1145.142857142857,347.7142857142857
